source_prefix	target_prefix	source_size	target_size	absolute_overlap	normalized_overlap
cryoem	icepo	111	51	51	1.0
cryoem	lbo	111	1108	111	1.0
cryoem	lpt	111	481	111	1.0
cryoem	mop	111	3582	111	1.0
cryoem	oarcs	111	307	111	1.0
cryoem	omit	111	89	89	1.0
cryoem	omp	111	2006	111	1.0
cryoem	rs	111	5020	111	1.0
cryoem	sbo	111	694	111	1.0
cryoem	xco	111	675	111	1.0
cteno	icepo	151	51	51	1.0
cteno	lbo	151	1108	151	1.0
cteno	lpt	151	481	151	1.0
cteno	mop	151	3582	151	1.0
cteno	oarcs	151	307	151	1.0
cteno	omp	151	2006	151	1.0
cteno	sbo	151	694	151	1.0
cvdo	sbo	290	694	290	1.0
cvdo	wbls	290	774	290	1.0
cvdo	xco	290	675	290	1.0
ddanat	zp	130	36602	130	1.0
ecao	olatdv	465	47	47	1.0
efo	icepo	15540	51	51	1.0
exo	lbo	150	1108	150	1.0
exo	mop	150	3582	150	1.0
exo	oarcs	150	307	150	1.0
exo	omp	150	2006	150	1.0
exo	sbo	150	694	150	1.0
fao	mop	112	3582	112	1.0
flopo	gecko	23226	67	67	1.0
flopo	hom	23226	65	65	1.0
flopo	icepo	23226	51	51	1.0
flopo	omit	23226	89	89	1.0
flopo	taxrank	23226	61	61	1.0
flopo	trans	23226	32	32	1.0
gecko	lbo	67	1108	67	1.0
gecko	lpt	67	481	67	1.0
gecko	ma	67	3230	67	1.0
gecko	mmo	67	695	67	1.0
gecko	mop	67	3582	67	1.0
gecko	oarcs	67	307	67	1.0
gecko	omp	67	2006	67	1.0
gecko	sbo	67	694	67	1.0
gecko	wbls	67	774	67	1.0
gecko	zp	67	36602	67	1.0
hao	hom	2465	65	65	1.0
hao	icepo	2465	51	51	1.0
hao	pdumdv	2465	21	21	1.0
hao	taxrank	2465	61	61	1.0
hao	trans	2465	32	32	1.0
hom	lbo	65	1108	65	1.0
hom	mmo	65	695	65	1.0
hom	mop	65	3582	65	1.0
hom	oarcs	65	307	65	1.0
hom	omp	65	2006	65	1.0
hom	sbo	65	694	65	1.0
hom	xco	65	675	65	1.0
hsapdv	lbo	243	1108	243	1.0
hsapdv	oarcs	243	307	243	1.0
hsapdv	sbo	243	694	243	1.0
hsapdv	trans	243	32	32	1.0
icepo	lbo	51	1108	51	1.0
icepo	lepao	51	132	51	1.0
icepo	lpt	51	481	51	1.0
icepo	ma	51	3230	51	1.0
icepo	mop	51	3582	51	1.0
icepo	oarcs	51	307	51	1.0
icepo	omp	51	2006	51	1.0
icepo	rs	51	5020	51	1.0
icepo	sbo	51	694	51	1.0
icepo	taxrank	51	61	51	1.0
icepo	wbls	51	774	51	1.0
icepo	xco	51	675	51	1.0
icepo	zfs	51	54	51	1.0
ino	lbo	166	1108	166	1.0
ino	omp	166	2006	166	1.0
ino	sbo	166	694	166	1.0
lbo	lepao	1108	132	132	1.0
lbo	mmusdv	1108	105	105	1.0
lbo	nomen	1108	260	260	1.0
lbo	oarcs	1108	307	307	1.0
lbo	ogms	1108	117	117	1.0
lbo	olatdv	1108	47	47	1.0
lbo	omit	1108	89	89	1.0
lbo	psdo	1108	74	74	1.0
lbo	taxrank	1108	61	61	1.0
lbo	trans	1108	32	32	1.0
lbo	zeco	1108	161	161	1.0
lepao	mop	132	3582	132	1.0
lepao	oarcs	132	307	132	1.0
lepao	omp	132	2006	132	1.0
lepao	psdo	132	74	74	1.0
lepao	sbo	132	694	132	1.0
lepao	taxrank	132	61	61	1.0
lepao	trans	132	32	32	1.0
lpt	ogms	481	117	117	1.0
lpt	omit	481	89	89	1.0
lpt	psdo	481	74	74	1.0
ma	olatdv	3230	47	47	1.0
ma	pdumdv	3230	21	21	1.0
ma	zeco	3230	161	161	1.0
mmo	olatdv	695	47	47	1.0
mmo	trans	695	32	32	1.0
mmo	zeco	695	161	161	1.0
mmusdv	mop	105	3582	105	1.0
mmusdv	oarcs	105	307	105	1.0
mmusdv	omp	105	2006	105	1.0
mmusdv	sbo	105	694	105	1.0
mmusdv	xco	105	675	105	1.0
mop	ogms	3582	117	117	1.0
mop	olatdv	3582	47	47	1.0
mop	omit	3582	89	89	1.0
mop	one	3582	69	69	1.0
mop	psdo	3582	74	74	1.0
mop	taxrank	3582	61	61	1.0
mop	trans	3582	32	32	1.0
mro	pdumdv	51242	21	21	1.0
nomen	zp	260	36602	260	1.0
oarcs	ogms	307	117	117	1.0
oarcs	omit	307	89	89	1.0
oarcs	psdo	307	74	74	1.0
oarcs	sbo	307	694	307	1.0
oarcs	taxrank	307	61	61	1.0
oarcs	trans	307	32	32	1.0
oarcs	zeco	307	161	161	1.0
ogms	omp	117	2006	117	1.0
ogms	sbo	117	694	117	1.0
ogms	zp	117	36602	117	1.0
olatdv	rs	47	5020	47	1.0
olatdv	sbo	47	694	47	1.0
olatdv	wbls	47	774	47	1.0
olatdv	xco	47	675	47	1.0
olatdv	zp	47	36602	47	1.0
omit	omp	89	2006	89	1.0
omit	rs	89	5020	89	1.0
omit	sbo	89	694	89	1.0
omit	xco	89	675	89	1.0
omp	psdo	2006	74	74	1.0
omp	taxrank	2006	61	61	1.0
omp	trans	2006	32	32	1.0
pdumdv	pw	21	2600	21	1.0
pdumdv	rs	21	5020	21	1.0
pdumdv	vbo	21	18556	21	1.0
pdumdv	wbphenotype	21	2633	21	1.0
pdumdv	zfa	21	3079	21	1.0
pdumdv	zp	21	36602	21	1.0
peco	vbo	550	18556	550	1.0
psdo	rs	74	5020	74	1.0
psdo	sbo	74	694	74	1.0
psdo	wbls	74	774	74	1.0
psdo	xco	74	675	74	1.0
sbo	taxrank	694	61	61	1.0
sbo	trans	694	32	32	1.0
sbo	zeco	694	161	161	1.0
taxrank	trans	61	32	32	1.0
taxrank	xco	61	675	61	1.0
trans	xco	32	675	32	1.0
trans	zfs	32	54	32	1.0
wbls	zeco	774	161	161	1.0
zeco	zp	161	36602	161	1.0
vbo	wbbt	18556	6763	6758	0.99926
sbo	xco	694	675	674	0.99852
rxno	sbo	653	694	652	0.99847
peco	zp	550	36602	549	0.99818
mp	mro	13569	51242	13541	0.99794
mro	wbbt	51242	6763	6749	0.99793
chmo	cmpo	2908	399	398	0.99749
cmpo	sbo	399	694	398	0.99749
cmpo	wbls	399	774	398	0.99749
lbo	wbls	1108	774	772	0.99742
ma	wbls	3230	774	772	0.99742
lbo	spd	1108	757	755	0.99736
ma	spd	3230	757	755	0.99736
lbo	mmo	1108	695	693	0.99712
lbo	sbo	1108	694	692	0.99712
lbo	xco	1108	675	673	0.99704
lbo	rxno	1108	653	651	0.99694
fovt	rs	313	5020	312	0.99681
apo	wbls	309	774	308	0.99676
bto	phipo	6511	920	917	0.99674
ma	phipo	3230	920	917	0.99674
mmo	oarcs	695	307	306	0.99674
ma	poro	3230	607	605	0.99671
cvdo	lbo	290	1108	289	0.99655
cvdo	ma	290	3230	289	0.99655
cvdo	mmo	290	695	289	0.99655
lbo	mco	1108	839	836	0.99642
ma	mco	3230	839	836	0.99642
lbo	ma	1108	3230	1104	0.99639
mro	peco	51242	550	548	0.99636
chmo	nomen	2908	260	259	0.99615
ma	nomen	3230	260	259	0.99615
ncro	rs	2543	5020	2533	0.99607
hsapdv	mmo	243	695	242	0.99588
hsapdv	wbls	243	774	242	0.99588
mro	po	51242	1653	1646	0.99577
ma	mmo	3230	695	692	0.99568
ma	sbo	3230	694	691	0.99568
mmo	wbls	695	774	692	0.99568
sbo	wbls	694	774	691	0.99568
ma	xco	3230	675	672	0.99556
wbls	xco	774	675	672	0.99556
lbo	planp	1108	673	670	0.99554
ma	planp	3230	673	670	0.99554
geno	ma	221	3230	220	0.99548
geno	rs	221	5020	220	0.99548
fypo	mro	7674	51242	7639	0.99544
ma	rxno	3230	653	650	0.99541
rxno	wbls	653	774	650	0.99541
plana	zp	646	36602	643	0.99536
bto	vsmo	6511	1902	1893	0.99527
bto	cmo	6511	3025	3010	0.99504
cmpo	ma	399	3230	397	0.99499
cmpo	mmo	399	695	397	0.99499
cmpo	rs	399	5020	397	0.99499
hog	ma	1176	3230	1170	0.9949
bto	hao	6511	2465	2452	0.99473
cmo	rs	3025	5020	3009	0.99471
bto	clao	6511	1495	1487	0.99465
clao	ma	1495	3230	1487	0.99465
mro	omp	51242	2006	1995	0.99452
bto	ncro	6511	2543	2529	0.99449
bto	mro	6511	51242	6475	0.99447
bto	ma	6511	3230	3212	0.99443
ma	rs	3230	5020	3212	0.99443
hao	rs	2465	5020	2451	0.99432
bto	pw	6511	2600	2585	0.99423
pw	rs	2600	5020	2585	0.99423
mmo	xco	695	675	671	0.99407
bto	planp	6511	673	669	0.99406
bto	hog	6511	1176	1169	0.99405
hog	rs	1176	5020	1169	0.99405
fypo	vbo	7674	18556	7628	0.99401
bto	ino	6511	166	165	0.99398
ino	ma	166	3230	165	0.99398
ino	mmo	166	695	165	0.99398
ino	mop	166	3582	165	0.99398
ino	rs	166	5020	165	0.99398
ino	wbls	166	774	165	0.99398
ino	zp	166	36602	165	0.99398
chmo	zeco	2908	161	160	0.99379
nbo	zeco	928	161	160	0.99379
bto	ddpheno	6511	961	955	0.99376
bto	lbo	6511	1108	1101	0.99368
fovt	ma	313	3230	311	0.99361
apo	bto	309	6511	307	0.99353
apo	chmo	309	2908	307	0.99353
apo	ma	309	3230	307	0.99353
apo	xco	309	675	307	0.99353
oarcs	wbls	307	774	305	0.99349
oarcs	xco	307	675	305	0.99349
phipo	zp	920	36602	914	0.99348
bto	spd	6511	757	752	0.99339
chmo	cteno	2908	151	150	0.99338
cteno	ma	151	3230	150	0.99338
cteno	mmo	151	695	150	0.99338
cteno	rs	151	5020	150	0.99338
cteno	wbls	151	774	150	0.99338
cteno	xco	151	675	150	0.99338
cteno	zp	151	36602	150	0.99338
exo	lpt	150	481	149	0.99333
exo	mmo	150	695	149	0.99333
flopo	mro	23226	51242	23070	0.99328
mro	rs	51242	5020	4986	0.99323
rs	vsmo	5020	1902	1889	0.99317
cvdo	zp	290	36602	288	0.9931
eco	mro	2007	51242	1993	0.99302
mop	mro	3582	51242	3557	0.99302
bspo	sbo	139	694	138	0.99281
mmo	sbo	695	694	689	0.9928
aism	rs	553	5020	549	0.99277
bto	cmpo	6511	399	396	0.99248
cmpo	xco	399	675	396	0.99248
cmpo	zp	399	36602	396	0.99248
lepao	lpt	132	481	131	0.99242
lepao	mmo	132	695	131	0.99242
cdao	chmo	131	2908	130	0.99237
cdao	ma	131	3230	130	0.99237
cdao	mmo	131	695	130	0.99237
cdao	rs	131	5020	130	0.99237
cdao	wbls	131	774	130	0.99237
mmo	rxno	695	653	648	0.99234
bto	nomen	6511	260	258	0.99231
nomen	rs	260	5020	258	0.99231
bto	wbls	6511	774	768	0.99225
chmo	wbls	2908	774	768	0.99225
wbls	zp	774	36602	768	0.99225
bto	vbo	6511	18556	6460	0.99217
bto	wbphenotype	6511	2633	2612	0.99202
clao	rs	1495	5020	1483	0.99197
bto	dermo	6511	3401	3373	0.99177
hsapdv	ma	243	3230	241	0.99177
hsapdv	omp	243	2006	241	0.99177
hsapdv	xco	243	675	241	0.99177
hsapdv	zp	243	36602	241	0.99177
poro	zp	607	36602	602	0.99176
bto	mco	6511	839	832	0.99166
mco	zp	839	36602	832	0.99166
cmo	vsmo	3025	1902	1886	0.99159
omp	zp	2006	36602	1989	0.99153
dermo	rs	3401	5020	3372	0.99147
ma	ogms	3230	117	116	0.99145
mmo	ogms	695	117	116	0.99145
ogms	rs	117	5020	116	0.99145
ogms	wbls	117	774	116	0.99145
bto	rs	6511	5020	4977	0.99143
bto	mmo	6511	695	689	0.99137
mmo	mop	695	3582	689	0.99137
bto	sbo	6511	694	688	0.99135
mop	sbo	3582	694	688	0.99135
bto	xco	6511	675	669	0.99111
mop	xco	3582	675	669	0.99111
rs	xco	5020	675	669	0.99111
chmo	planp	2908	673	667	0.99108
planp	zp	673	36602	667	0.99108
cmo	fao	3025	112	111	0.99107
fao	flopo	112	23226	111	0.99107
fao	rs	112	5020	111	0.99107
fao	wbphenotype	112	2633	111	0.99107
fao	zp	112	36602	111	0.99107
chmo	cryoem	2908	111	110	0.99099
cryoem	lepao	111	132	110	0.99099
cryoem	ma	111	3230	110	0.99099
cryoem	mmo	111	695	110	0.99099
cryoem	wbls	111	774	110	0.99099
cryoem	zp	111	36602	110	0.99099
rs	wbls	5020	774	767	0.99096
chmo	geno	2908	221	219	0.99095
geno	lbo	221	1108	219	0.99095
rs	wbphenotype	5020	2633	2609	0.99088
bto	rxno	6511	653	647	0.99081
mop	rxno	3582	653	647	0.99081
cmo	ma	3025	3230	2997	0.99074
ddpheno	ma	961	3230	952	0.99063
ddpheno	rs	961	5020	952	0.99063
mro	zfa	51242	3079	3050	0.99058
eco	zp	2007	36602	1988	0.99053
bto	mop	6511	3582	3548	0.99051
lepao	mmusdv	132	105	104	0.99048
lpt	mmusdv	481	105	104	0.99048
mmo	mmusdv	695	105	104	0.99048
mmusdv	rs	105	5020	104	0.99048
chmo	mco	2908	839	831	0.99046
ma	pw	3230	2600	2575	0.99038
apo	mmo	309	695	306	0.99029
apo	zp	309	36602	306	0.99029
fbcv	zp	1132	36602	1121	0.99028
chmo	oarcs	2908	307	304	0.99023
ma	oarcs	3230	307	304	0.99023
mro	ncro	51242	2543	2518	0.99017
bto	poro	6511	607	601	0.99012
poro	rs	607	5020	601	0.99012
lbo	rs	1108	5020	1097	0.99007
lbo	zp	1108	36602	1097	0.99007
rs	vbo	5020	18556	4970	0.99004
cmpo	mop	399	3582	395	0.98997
chmo	mmo	2908	695	688	0.98993
mmo	zp	695	36602	688	0.98993
chmo	sbo	2908	694	687	0.98991
rs	sbo	5020	694	687	0.98991
sbo	zp	694	36602	687	0.98991
hao	ma	2465	3230	2440	0.98986
cmo	cvdo	3025	290	287	0.98966
cvdo	rs	290	5020	287	0.98966
chmo	xco	2908	675	668	0.98963
xco	zp	675	36602	668	0.98963
ddpheno	zp	961	36602	951	0.98959
ma	mro	3230	51242	3196	0.98947
chmo	spd	2908	757	749	0.98943
rs	spd	5020	757	749	0.98943
fbcv	mro	1132	51242	1120	0.9894
clao	zp	1495	36602	1479	0.9893
chmo	rxno	2908	653	646	0.98928
rs	rxno	5020	653	646	0.98928
rxno	zp	653	36602	646	0.98928
pw	zp	2600	36602	2572	0.98923
chmo	lbo	2908	1108	1096	0.98917
fypo	peco	7674	550	544	0.98909
chmo	zp	2908	36602	2876	0.989
cmo	pw	3025	2600	2571	0.98885
chmo	omit	2908	89	88	0.98876
lepao	omit	132	89	88	0.98876
ma	omit	3230	89	88	0.98876
mmo	omit	695	89	88	0.98876
omit	wbls	89	774	88	0.98876
omit	wbphenotype	89	2633	88	0.98876
omit	zp	89	36602	88	0.98876
chmo	mro	2908	51242	2875	0.98865
wbphenotype	zp	2633	36602	2603	0.98861
ma	zp	3230	36602	3193	0.98854
fbcv	vbo	1132	18556	1119	0.98852
mmo	rs	695	5020	687	0.98849
cmo	zp	3025	36602	2990	0.98843
cmo	hao	3025	2465	2436	0.98824
hao	zp	2465	36602	2436	0.98824
ncro	zp	2543	36602	2513	0.9882
spd	zp	757	36602	748	0.98811
cmo	mro	3025	51242	2989	0.9881
hog	zp	1176	36602	1162	0.9881
mco	rs	839	5020	829	0.98808
phipo	rs	920	5020	909	0.98804
chmo	clao	2908	1495	1477	0.98796
chmo	ino	2908	166	164	0.98795
cmo	colao	3025	83	82	0.98795
colao	cryoem	83	111	82	0.98795
colao	efo	83	15540	82	0.98795
colao	lepao	83	132	82	0.98795
colao	lpt	83	481	82	0.98795
colao	mmo	83	695	82	0.98795
colao	rs	83	5020	82	0.98795
colao	wbphenotype	83	2633	82	0.98795
ino	oarcs	166	307	164	0.98795
ino	xco	166	675	164	0.98795
dermo	mro	3401	51242	3360	0.98794
ma	vsmo	3230	1902	1879	0.98791
ncro	vbo	2543	18556	2512	0.98781
chmo	hsapdv	2908	243	240	0.98765
cro	cryoem	81	111	80	0.98765
cro	flopo	81	23226	80	0.98765
cro	lepao	81	132	80	0.98765
cro	lpt	81	481	80	0.98765
cro	mmo	81	695	80	0.98765
cro	rs	81	5020	80	0.98765
hsapdv	rs	243	5020	240	0.98765
mro	plana	51242	646	638	0.98762
cmo	zeco	3025	161	159	0.98758
omp	zeco	2006	161	159	0.98758
rs	zeco	5020	161	159	0.98758
rxno	zeco	653	161	159	0.98758
xco	zeco	675	161	159	0.98758
cmo	cmpo	3025	399	394	0.98747
vsmo	zp	1902	36602	1878	0.98738
aism	bto	553	6511	546	0.98734
aism	mop	553	3582	546	0.98734
aism	zp	553	36602	546	0.98734
chmo	hog	2908	1176	1161	0.98724
fovt	mop	313	3582	309	0.98722
fovt	zp	313	36602	309	0.98722
apo	cmo	309	3025	305	0.98706
apo	mop	309	3582	305	0.98706
apo	rs	309	5020	305	0.98706
mop	oarcs	3582	307	303	0.98697
oarcs	zp	307	36602	303	0.98697
chmo	rs	2908	5020	2870	0.98693
mro	pw	51242	2600	2566	0.98692
cteno	flopo	151	23226	149	0.98675
mro	wbphenotype	51242	2633	2598	0.98671
chmo	exo	2908	150	148	0.98667
exo	flopo	150	23226	148	0.98667
exo	ma	150	3230	148	0.98667
exo	rs	150	5020	148	0.98667
exo	wbls	150	774	148	0.98667
exo	xco	150	675	148	0.98667
exo	zp	150	36602	148	0.98667
planp	rs	673	5020	664	0.98663
mop	vbo	3582	18556	3534	0.9866
bto	chmo	6511	2908	2869	0.98659
flopo	psdo	23226	74	73	0.98649
ma	psdo	3230	74	73	0.98649
mmo	psdo	695	74	73	0.98649
psdo	zp	74	36602	73	0.98649
chmo	ddpheno	2908	961	948	0.98647
geno	zp	221	36602	218	0.98643
mro	vsmo	51242	1902	1876	0.98633
maxo	zp	1387	36602	1368	0.9863
bto	cvdo	6511	290	286	0.98621
hao	mro	2465	51242	2431	0.98621
chmo	phipo	2908	920	907	0.98587
rs	zp	5020	36602	4949	0.98586
chmo	vsmo	2908	1902	1875	0.9858
chmo	pw	2908	2600	2563	0.98577
bspo	ma	139	3230	137	0.98561
bspo	mmo	139	695	137	0.98561
bspo	rs	139	5020	137	0.98561
aism	mro	553	51242	545	0.98553
fypo	one	7674	69	68	0.98551
ma	one	3230	69	68	0.98551
ncro	one	2543	69	68	0.98551
one	rs	69	5020	68	0.98551
one	zp	69	36602	68	0.98551
symp	zp	897	36602	884	0.98551
fypo	zp	7674	36602	7561	0.98527
chmo	poro	2908	607	598	0.98517
cmo	poro	3025	607	598	0.98517
cteno	gecko	151	67	66	0.98507
fypo	gecko	7674	67	66	0.98507
gecko	mro	67	51242	66	0.98507
gecko	nbo	67	928	66	0.98507
gecko	rs	67	5020	66	0.98507
gecko	rxno	67	653	66	0.98507
gecko	wbphenotype	67	2633	66	0.98507
vbo	zfa	18556	3079	3033	0.98506
dermo	zp	3401	36602	3350	0.985
chmo	hao	2908	2465	2428	0.98499
hao	pw	2465	2600	2428	0.98499
mop	zp	3582	36602	3528	0.98492
chmo	lepao	2908	132	130	0.98485
flopo	lepao	23226	132	130	0.98485
lepao	ma	132	3230	130	0.98485
lepao	rs	132	5020	130	0.98485
lepao	wbls	132	774	130	0.98485
lepao	xco	132	675	130	0.98485
lepao	zp	132	36602	130	0.98485
wbbt	zp	6763	36602	6660	0.98477
cdao	flopo	131	23226	129	0.98473
cdao	xco	131	675	129	0.98473
bto	zp	6511	36602	6411	0.98464
cmo	hom	3025	65	64	0.98462
cmo	nomen	3025	260	256	0.98462
cryoem	hom	111	65	64	0.98462
cteno	hom	151	65	64	0.98462
ddanat	flopo	130	23226	128	0.98462
efo	hom	15540	65	64	0.98462
hom	lepao	65	132	64	0.98462
hom	lpt	65	481	64	0.98462
hom	ma	65	3230	64	0.98462
hom	rs	65	5020	64	0.98462
hom	vsmo	65	1902	64	0.98462
hom	wbls	65	774	64	0.98462
hom	wbphenotype	65	2633	64	0.98462
mop	nomen	3582	260	256	0.98462
flopo	plana	23226	646	636	0.98452
ma	vbo	3230	18556	3180	0.98452
dermo	vbo	3401	18556	3348	0.98442
ddpheno	mop	961	3582	946	0.98439
cmo	fovt	3025	313	308	0.98403
fovt	hao	313	2465	308	0.98403
fovt	pw	313	2600	308	0.98403
cmo	hog	3025	1176	1157	0.98384
mro	nbo	51242	928	913	0.98384
zfa	zp	3079	36602	3029	0.98376
cmo	oarcs	3025	307	302	0.98371
oarcs	rs	307	5020	302	0.98371
phipo	pw	920	2600	905	0.9837
mro	planp	51242	673	662	0.98366
cmo	taxrank	3025	61	60	0.98361
cryoem	taxrank	111	61	60	0.98361
cteno	taxrank	151	61	60	0.98361
efo	taxrank	15540	61	60	0.98361
lpt	taxrank	481	61	60	0.98361
mmo	taxrank	695	61	60	0.98361
rs	taxrank	5020	61	60	0.98361
taxrank	vsmo	61	1902	60	0.98361
taxrank	wbls	61	774	60	0.98361
taxrank	wbphenotype	61	2633	60	0.98361
hsapdv	mop	243	3582	239	0.98354
chmo	ma	2908	3230	2859	0.98315
cmo	vbo	3025	18556	2974	0.98314
hog	pw	1176	2600	1156	0.98299
flopo	ogms	23226	117	115	0.98291
ogms	xco	117	675	115	0.98291
chmo	vbo	2908	18556	2858	0.98281
chmo	cvdo	2908	290	285	0.98276
cvdo	flopo	290	23226	285	0.98276
cvdo	mop	290	3582	285	0.98276
cvdo	mro	290	51242	285	0.98276
maxo	mro	1387	51242	1363	0.9827
mop	planp	3582	673	661	0.98217
chmo	fao	2908	112	110	0.98214
fao	hao	112	2465	110	0.98214
fao	ma	112	3230	110	0.98214
mco	mro	839	51242	824	0.98212
cryoem	flopo	111	23226	109	0.98198
clao	cmo	1495	3025	1468	0.98194
clao	mro	1495	51242	1468	0.98194
flopo	ino	23226	166	163	0.98193
mro	wbls	51242	774	760	0.98191
geno	mro	221	51242	217	0.9819
mro	poro	51242	607	596	0.98188
chmo	cmo	2908	3025	2855	0.98177
cmo	phipo	3025	920	903	0.98152
mro	spd	51242	757	743	0.98151
flopo	zfs	23226	54	53	0.98148
omp	zfs	2006	54	53	0.98148
mro	zeco	51242	161	158	0.98137
hog	mro	1176	51242	1154	0.98129
clao	pw	1495	2600	1467	0.98127
pw	vbo	2600	18556	2551	0.98115
vbo	wbphenotype	18556	2633	2583	0.98101
chmo	mmusdv	2908	105	103	0.98095
flopo	mmusdv	23226	105	103	0.98095
ma	mmusdv	3230	105	103	0.98095
mmusdv	wbls	105	774	103	0.98095
mmusdv	zp	105	36602	103	0.98095
fovt	mro	313	51242	307	0.98083
mop	wbls	3582	774	759	0.98062
amphx	icepo	399	51	50	0.98039
chmo	icepo	2908	51	50	0.98039
ddanat	icepo	130	51	50	0.98039
fao	icepo	112	51	50	0.98039
icepo	mmo	51	695	50	0.98039
icepo	vsmo	51	1902	50	0.98039
icepo	wbphenotype	51	2633	50	0.98039
icepo	zp	51	36602	50	0.98039
ddpheno	mro	961	51242	942	0.98023
cmo	lbo	3025	1108	1086	0.98014
mro	rxno	51242	653	640	0.98009
nbo	rxno	928	653	640	0.98009
cmpo	mro	399	51242	391	0.97995
mmo	mro	695	51242	681	0.97986
eco	vbo	2007	18556	1966	0.97957
ma	ncro	3230	2543	2491	0.97955
cmo	hsapdv	3025	243	238	0.97942
cvdo	mco	290	839	284	0.97931
cvdo	pw	290	2600	284	0.97931
hao	vbo	2465	18556	2414	0.97931
mro	symp	51242	897	878	0.97882
cmo	olatdv	3025	47	46	0.97872
hao	olatdv	2465	47	46	0.97872
olatdv	spd	47	757	46	0.97872
lbo	poro	1108	607	594	0.97858
omp	vbo	2006	18556	1963	0.97856
cmo	mco	3025	839	821	0.97855
bspo	chmo	139	2908	136	0.97842
bspo	cmo	139	3025	136	0.97842
bspo	wbls	139	774	136	0.97842
bspo	wbphenotype	139	2633	136	0.97842
mmo	nbo	695	928	680	0.97842
mro	sbo	51242	694	679	0.97839
nbo	sbo	928	694	679	0.97839
aism	flopo	553	23226	541	0.9783
mro	phipo	51242	920	900	0.97826
cmo	wbls	3025	774	757	0.97804
vbo	vsmo	18556	1902	1860	0.97792
mro	xco	51242	675	660	0.97778
nbo	xco	928	675	660	0.97778
chmo	fovt	2908	313	306	0.97764
